Program,Caffeine,Grade_1,Grade_Let,Intuitive,Positive,Motivate,Grade_2,Spray,Time_1,Time_2,PS_1,PS_2,PS_3,PS_4,PS_5,PS_6,PS_7,PS_8,PS_9,PS_10,PS_11,PS_12,PS_13,PS_14,PS_15,PS_16,PS_17,PS_18,PS_19,PS_20,RSE_1,RSE_2,RSE_3,RSE_4,RSE_5,RSE_6,RSE_7,RSE_8,RSE_9,RSE_10,SWLS_1,SWLS_2,SWLS_3,SWLS_4,SWLS_5
1,1,83,3,14,15,4.9,85,1,1,2,2,4,5,2,1,4,5,4,4,4,2,4,5,2,4,2,4,2,2,2,2,4,2,2,3,3,2,2,3,2,2,2,2,3,3
1,1,55,1,16,20,3.4,69,1,1,3,4,2,4,4,1,4,4,4,2,2,2,3,4,4,4,4,4,4,1,4,4,2,4,4,1,2,3,3,1,4,1,1,1,1,1
1,1,65,2,15,15,2.5,80,2,1,1,5,3,3,5,4,1,4,2,3,1,4,3,4,4,3,3,3,2,3,3,3,3,3,1,3,3,3,3,2,3,2,2,1,2,2
1,1,60,2,8,14,2.7,81,1,1,1,4,5,4,4,4,4,5,4,5,4,4,5,5,1,2,5,4,4,4,5,2,3,2,3,3,2,3,2,2,2,3,3,2,2,4
1,1,79,4,19,20,2.3,75,1,1,1,1,1,5,4,2,2,3,5,2,2,3,1,5,5,5,1,1,5,2,5,4,2,4,4,1,2,4,2,1,4,4,4,3,1,3
1,1,61,2,12,20,2,69,1,1,3,4,1,4,3,2,1,3,3,2,2,1,4,5,2,1,1,1,1,2,5,3,1,4,4,1,2,4,2,1,4,5,5,2,2,2
1,1,58,1,10,16,1.5,70,2,2,3,2,5,5,3,1,5,3,3,3,1,1,1,1,5,5,2,2,3,2,5,3,2,4,2,2,1,4,3,1,3,1,2,1,4,5
1,1,90,3,19,17,4.9,91,1,2,2,4,3,2,1,3,3,4,2,4,3,2,2,4,3,3,2,3,2,4,4,3,2,3,3,3,3,3,2,2,2,3,1,2,4,6
1,1,49,6,12,14,2,64,2,2,3,2,4,3,4,2,4,3,4,3,2,3,3,4,4,4,4,3,4,2,4,3,2,3,3,1,2,3,3,2,3,5,5,2,1,1
1,1,60,2,13,21,2.1,69,1,2,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,1,4,4,1,1,4,1,1,4,4,4,3,5,7
1,1,75,4,15,13,4.7,78,1,2,1,4,2,5,2,2,5,5,2,4,4,2,4,4,2,2,4,3,4,2,4,3,3,3,3,3,3,3,3,3,1,3,1,4,6,4
1,1,71,4,9,19,3.2,98,1,2,1,2,2,3,3,1,4,2,4,3,2,3,4,5,5,5,5,4,4,3,2,3,1,4,4,1,1,1,1,1,3,5,2,1,1,2
1,1,82,3,15,15,4.8,82,2,1,1,4,3,2,2,4,5,4,3,4,2,3,4,5,2,3,2,3,3,5,5,4,2,4,3,1,3,3,3,1,3,1,2,1,3,6
1,1,55,1,12,21,2.3,67,2,1,3,3,2,2,3,2,4,3,4,4,2,2,3,4,4,3,2,2,4,3,4,4,1,4,3,1,1,3,2,2,4,1,2,2,1,2
1,1,66,2,11,10,3,67,1,1,3,5,4,5,1,4,5,4,5,4,5,5,4,4,4,5,3,5,3,5,4,2,4,2,3,3,4,2,4,4,2,6,5,5,3,4
1,1,65,2,10,16,2.1,81,1,1,2,4,4,5,2,3,3,3,4,2,4,2,4,4,2,2,2,2,3,4,4,2,2,3,3,3,3,2,3,2,2,1,4,6,1,6
1,1,82,3,12,15,4.8,81,1,1,2,4,1,5,2,5,3,2,5,2,2,4,4,5,3,5,3,4,4,5,4,3,2,4,4,2,4,4,3,1,3,1,1,3,1,5
1,1,69,2,10,22,2.1,69,1,1,2,5,1,5,4,2,4,3,4,2,2,2,2,5,5,5,4,3,5,2,5,4,1,4,4,1,1,4,1,1,4,1,1,3,5,7
1,1,79,4,16,16,4.7,82,2,2,2,4,2,5,2,1,3,2,4,3,3,3,2,4,2,4,4,3,5,2,4,3,3,3,4,2,3,3,4,1,3,5,6,6,1,4
1,1,59,1,16,19,2.6,61,2,2,3,3,1,1,4,1,5,3,3,1,1,1,3,5,4,2,1,2,5,3,5,4,1,4,4,1,1,4,2,1,4,1,4,3,5,3
1,1,73,4,16,17,4.5,78,2,2,2,3,3,3,3,3,5,5,4,2,4,3,3,3,3,3,3,3,3,3,3,4,2,3,3,2,2,3,3,3,3,1,4,3,5,7
1,1,77,4,14,17,4.7,78,1,2,1,3,4,2,2,4,5,3,5,4,2,2,3,5,4,3,2,4,4,4,5,3,2,4,4,2,3,4,4,3,3,1,4,3,5,1
1,1,71,4,14,19,3.9,88,2,2,1,4,1,2,1,5,2,5,5,4,1,5,2,5,5,5,2,2,5,1,4,3,1,4,4,1,1,4,1,1,4,4,4,3,2,7
1,1,44,6,10,15,1.8,60,2,2,2,4,3,5,2,1,3,2,4,4,4,2,2,4,2,2,2,2,2,4,2,2,2,2,2,3,3,3,3,3,2,3,2,5,2,5
1,1,46,6,9,13,2,59,1,1,3,2,2,4,2,2,4,3,4,5,3,4,4,5,4,5,2,4,4,2,5,4,1,4,4,1,2,3,4,1,4,2,2,2,1,7
1,1,66,2,16,12,2,69,1,1,2,2,2,4,3,2,2,2,4,2,3,2,2,4,4,4,4,4,4,2,4,3,2,3,3,2,2,3,1,1,3,2,5,2,1,1
1,1,65,2,12,14,3.1,81,1,1,1,2,2,4,2,4,5,3,5,4,2,1,4,5,2,5,3,5,5,5,5,4,3,3,4,2,2,3,3,2,3,4,4,3,5,3
1,1,61,2,15,15,2.9,81,1,1,3,3,4,4,5,2,4,4,4,4,2,4,2,5,2,2,3,2,4,2,4,3,2,3,4,3,2,4,2,2,2,2,1,2,5,2
1,1,88,3,14,9,2.8,88,1,1,1,5,1,5,3,1,2,1,1,1,1,5,1,5,5,5,1,1,4,2,5,1,3,2,2,3,3,3,3,3,1,2,6,5,3,4
1,1,89,3,15,15,4.9,89,1,1,1,2,1,3,4,2,4,2,3,2,2,2,2,4,4,4,4,2,4,2,4,3,3,4,3,1,1,4,2,2,3,2,2,1,3,2
1,1,94,3,16,14,4.9,93,1,2,1,3,3,3,3,3,3,3,3,3,3,3,1,5,3,1,2,2,5,5,4,3,2,3,3,3,3,4,4,3,2,2,2,1,1,1
1,2,69,2,13,18,3,75,1,2,3,4,4,3,1,3,5,4,4,4,3,2,4,3,1,2,3,3,3,3,3,3,1,4,4,2,2,4,3,1,3,2,2,2,7,5
1,2,69,2,15,9,3.1,79,1,2,1,4,1,5,3,3,4,4,4,4,4,3,3,3,3,3,4,4,4,2,3,2,3,2,3,3,3,3,3,3,2,1,1,2,1,2
1,2,60,2,12,15,1.9,84,2,2,1,4,4,3,3,4,2,4,3,4,4,4,5,3,2,2,4,3,3,4,3,2,3,4,4,2,3,3,4,2,3,6,3,6,2,5
1,2,52,1,11,14,2.1,82,1,2,1,4,4,2,2,4,1,4,2,4,2,5,4,4,2,2,4,4,2,4,1,3,2,3,3,1,3,3,3,2,2,5,1,2,2,6
1,2,54,1,9,14,2.3,72,2,2,1,3,2,4,3,2,4,2,4,3,2,3,3,4,3,4,4,3,4,2,4,3,2,3,3,2,2,3,2,2,3,2,2,2,1,2
1,2,94,3,19,18,2.7,69,2,1,2,1,1,5,5,1,5,1,4,1,1,1,1,5,5,5,1,1,5,1,5,2,1,4,2,2,2,3,4,3,2,5,1,2,5,5
1,2,49,6,10,17,1.9,81,2,1,2,3,2,3,4,3,4,3,4,2,2,3,4,4,4,4,2,2,4,2,4,3,2,3,2,2,2,3,3,2,3,1,5,2,1,1
1,2,70,4,14,16,1.5,72,2,1,1,3,1,5,4,2,5,3,4,2,2,3,2,5,5,4,2,2,4,2,4,4,1,4,4,1,1,4,1,1,4,1,1,1,1,3
1,2,66,2,12,14,2.8,80,1,1,1,4,1,4,5,1,3,2,4,2,1,4,2,5,3,4,2,1,4,2,4,3,1,3,3,2,2,3,1,2,4,1,1,1,7,3
